Transaction ID,Date,Quarter,Business Unit,Revenue,Cost,Profit,Profit Margin (%),Employees,Active Customers,Customer Acquisition Cost,Average Contract Value
TXN1044,2021-05-01,Q2 2021,Consulting,44257.6,19433.67,20906.2,51.0,2,23,128.15,5602.55
TXN1042,2021-05-01,Q2 2021,Hardware Sales,65658.59,44778.92,28111.6,34.8,3,31,184.25,6842.19
TXN1045,2021-05-01,Q2 2021,Cloud Infrastructure,131921.3,55579.69,92809.52,60.7,7,58,111.58,7089.55
TXN1040,2021-05-01,Q2 2021,Digital Services,116447.68,34224.53,76664.11,66.6,6,67,75.85,4915.75
TXN1039,2021-05-01,Q2 2021,Digital Services,125372.46,39660.04,80151.01,66.6,6,67,162.15,4915.75
TXN1041,2021-05-01,Q2 2021,Hardware Sales,74284.73,45821.83,22497.45,34.8,3,31,86.25,6842.19
TXN1038,2021-05-01,Q2 2021,Digital Services,108859.43,36810.83,80684.23,66.6,6,67,58.07,4915.75
TXN1056,2021-05-31,Q2 2021,Cloud Infrastructure,144024.86,50234.9,88553.75,61.4,8,90,149.14,4484.95
TXN1055,2021-05-31,Q2 2021,Cloud Infrastructure,130195.77,60353.04,83383.28,61.4,8,90,130.99,4484.95
TXN1054,2021-05-31,Q2 2021,Cloud Infrastructure,121755.3,57955.5,74562.01,61.4,8,90,62.72,4484.95
TXN1053,2021-05-31,Q2 2021,Consulting,45643.35,19494.49,27357.02,51.9,2,22,145.66,5996.93
TXN1052,2021-05-31,Q2 2021,Consulting,44236.89,25238.54,25148.56,51.9,2,22,154.91,5996.93
TXN1051,2021-05-31,Q2 2021,Consulting,50031.57,20736.8,25745.27,51.9,2,22,173.41,5996.93
TXN1050,2021-05-31,Q2 2021,Hardware Sales,72080.76,51163.47,23608.6,35.6,3,33,183.14,6632.75
TXN1049,2021-05-31,Q2 2021,Hardware Sales,73669.11,49780.66,24668.19,35.6,3,33,139.61,6632.75
TXN1048,2021-05-31,Q2 2021,Digital Services,120797.82,37062.07,72435.6,65.8,6,60,110.15,5053.55
TXN1047,2021-05-31,Q2 2021,Digital Services,108060.72,32469.38,71346.14,65.8,6,60,98.39,5053.55
TXN1065,2021-06-30,Q2 2021,Cloud Infrastructure,159568.15,59096.57,95252.59,60.3,9,99,78.7,4473.58
TXN1064,2021-06-30,Q2 2021,Cloud Infrastructure,138064.63,57987.53,84047.86,60.3,9,99,63.83,4473.58
TXN1063,2021-06-30,Q2 2021,Cloud Infrastructure,164293.32,69551.33,91457.34,60.3,9,99,86.75,4473.58
TXN1062,2021-06-30,Q2 2021,Consulting,45829.79,26749.09,24437.96,50.6,2,22,92.35,6317.06
TXN1057,2021-06-30,Q2 2021,Digital Services,112252.81,33493.46,81632.01,65.3,6,58,100.91,5543.2
TXN1060,2021-06-30,Q2 2021,Hardware Sales,72720.99,44579.32,23896.85,33.7,4,46,100.33,4049.18
TXN1059,2021-06-30,Q2 2021,Hardware Sales,71844.2,37400.74,24575.12,33.7,4,46,152.14,4049.18
TXN1058,2021-06-30,Q2 2021,Digital Services,116732.76,37174.42,81627.63,65.3,6,58,159.4,5543.2
TXN1061,2021-06-30,Q2 2021,Consulting,47283.06,21331.37,24349.13,50.6,2,22,147.21,6317.06
TXN1073,2021-07-30,Q3 2021,Consulting,44178.73,21907.87,24939.15,51.1,2,18,121.68,7775.48
TXN1077,2021-07-30,Q3 2021,Cloud Infrastructure,163214.91,62880.12,108376.78,59.0,9,86,172.39,5407.9
TXN1076,2021-07-30,Q3 2021,Cloud Infrastructure,149110.45,60365.7,92232.84,59.0,9,86,179.5,5407.9
TXN1075,2021-07-30,Q3 2021,Cloud Infrastructure,183572.25,68997.78,92426.47,59.0,9,86,141.8,5407.9
TXN1074,2021-07-30,Q3 2021,Consulting,42935.72,24094.81,27373.02,51.1,2,18,113.5,7775.48
TXN1072,2021-07-30,Q3 2021,Consulting,42932.81,25343.96,23765.73,51.1,2,18,197.08,7775.48
TXN1066,2021-07-30,Q3 2021,Digital Services,123892.65,42697.41,81902.58,66.0,7,63,158.41,5492.23
TXN1070,2021-07-30,Q3 2021,Hardware Sales,67584.48,48798.73,26782.87,33.3,4,34,151.26,6203.46
TXN1069,2021-07-30,Q3 2021,Hardware Sales,83390.51,51429.77,26529.13,33.3,4,34,153.26,6203.46
TXN1068,2021-07-30,Q3 2021,Digital Services,121304.42,40533.09,72673.02,66.0,7,63,113.08,5492.23
TXN1067,2021-07-30,Q3 2021,Digital Services,106723.0,46834.43,71277.4,66.0,7,63,66.73,5492.23
TXN1071,2021-07-30,Q3 2021,Hardware Sales,63402.48,43409.71,23533.11,33.3,4,34,191.65,6203.46
TXN1086,2021-08-29,Q3 2021,Cloud Infrastructure,162286.45,74114.32,100827.76,60.1,10,89,91.61,5630.03
TXN1085,2021-08-29,Q3 2021,Cloud Infrastructure,189133.74,62708.13,95290.21,60.1,10,89,141.9,5630.03
TXN1084,2021-08-29,Q3 2021,Consulting,57954.54,24935.13,25942.33,50.4,3,31,141.45,4781.26
TXN1083,2021-08-29,Q3 2021,Consulting,44571.46,22493.67,27342.97,50.4,3,31,73.87,4781.26
TXN1081,2021-08-29,Q3 2021,Hardware Sales,57166.56,32563.35,26038.83,38.1,4,39,179.67,4468.28
TXN1080,2021-08-29,Q3 2021,Hardware Sales,59976.04,36907.27,22409.53,38.1,4,39,180.25,4468.28
TXN1079,2021-08-29,Q3 2021,Digital Services,110185.21,44529.26,64646.51,63.3,7,83,135.06,3920.86
TXN1078,2021-08-29,Q3 2021,Digital Services,119613.34,43088.05,75288.25,63.3,7,83,58.64,3920.86
TXN1082,2021-08-29,Q3 2021,Hardware Sales,57104.26,37985.0,20662.33,38.1,4,39,64.01,4468.28
TXN1093,2021-09-28,Q3 2021,Cloud Infrastructure,209454.11,73120.3,104418.28,58.5,11,106,139.26,5037.71
TXN1095,2021-09-28,Q3 2021,Cloud Infrastructure,193156.71,75363.87,124823.75,58.5,11,106,64.83,5037.71
TXN1094,2021-09-28,Q3 2021,Cloud Infrastructure,183765.73,87053.43,106223.92,58.5,11,106,121.67,5037.71
TXN1092,2021-09-28,Q3 2021,Consulting,58252.33,30183.94,29071.1,50.4,3,32,167.19,4773.05
TXN1090,2021-09-28,Q3 2021,Hardware Sales,63217.23,40007.24,25014.69,32.0,4,35,182.41,5605.58
TXN1091,2021-09-28,Q3 2021,Consulting,48643.64,23519.98,28803.37,50.4,3,32,169.94,4773.05
TXN1089,2021-09-28,Q3 2021,Hardware Sales,61431.03,48169.79,25062.56,32.0,4,35,185.38,5605.58
TXN1088,2021-09-28,Q3 2021,Digital Services,117262.78,50185.68,90409.26,66.6,7,74,80.81,5187.54
TXN1087,2021-09-28,Q3 2021,Digital Services,129554.54,46405.39,85172.29,66.6,7,74,65.07,5187.54
TXN1105,2021-10-28,Q4 2021,Cloud Infrastructure,177103.11,82408.45,110800.19,58.9,11,100,178.76,5158.89
TXN1104,2021-10-28,Q4 2021,Cloud Infrastructure,177562.77,70408.56,99756.69,58.9,11,100,194.88,5158.89
TXN1103,2021-10-28,Q4 2021,Consulting,46244.58,22903.15,21515.41,49.9,3,33,174.17,4174.34
TXN1102,2021-10-28,Q4 2021,Consulting,52393.95,22078.38,27036.04,49.9,3,33,182.68,4174.34
TXN1101,2021-10-28,Q4 2021,Consulting,45567.33,26885.67,23109.02,49.9,3,33,104.52,4174.34
TXN1099,2021-10-28,Q4 2021,Hardware Sales,71205.98,42635.7,24564.33,33.8,4,32,144.19,5986.83
TXN1098,2021-10-28,Q4 2021,Hardware Sales,70330.91,41209.96,22799.38,33.8,4,32,130.65,5986.83
TXN1097,2021-10-28,Q4 2021,Digital Services,135739.03,46508.78,90047.47,65.6,8,68,106.27,5164.3
TXN1096,2021-10-28,Q4 2021,Digital Services,137404.06,45422.39,77156.24,65.6,8,68,184.77,5164.3
TXN1100,2021-10-28,Q4 2021,Hardware Sales,58207.91,45003.75,24979.45,33.8,4,32,135.14,5986.83
TXN1113,2021-11-27,Q4 2021,Consulting,60738.36,32043.78,32394.57,50.2,3,26,168.18,6222.17
TXN1116,2021-11-27,Q4 2021,Cloud Infrastructure,198435.7,90034.56,125900.42,61.5,12,107,152.73,5527.58
TXN1115,2021-11-27,Q4 2021,Cloud Infrastructure,196773.91,72393.67,126106.74,61.5,12,107,89.49,5527.58
TXN1114,2021-11-27,Q4 2021,Cloud Infrastructure,229518.94,77219.16,133001.1,61.5,12,107,147.11,5527.58
TXN1112,2021-11-27,Q4 2021,Consulting,51351.77,30940.68,31842.11,50.2,3,26,74.91,6222.17
TXN1111,2021-11-27,Q4 2021,Consulting,60853.93,29449.56,28934.87,50.2,3,26,139.52,6222.17
TXN1110,2021-11-27,Q4 2021,Hardware Sales,81403.81,58934.58,27421.27,32.2,4,45,120.21,4879.12
TXN1108,2021-11-27,Q4 2021,Hardware Sales,68543.25,52472.1,24376.51,32.2,4,45,149.51,4879.12
TXN1107,2021-11-27,Q4 2021,Digital Services,132039.13,48359.4,103145.64,63.4,8,86,159.92,5056.27
TXN1106,2021-11-27,Q4 2021,Digital Services,165534.27,54972.08,106014.35,63.4,8,86,53.35,5056.27
TXN1109,2021-11-27,Q4 2021,Hardware Sales,77931.07,45058.01,21445.8,32.2,4,45,155.2,4879.12
TXN1126,2021-12-27,Q4 2021,Cloud Infrastructure,267503.36,92955.03,128559.04,60.6,13,132,81.02,5189.57
TXN1117,2021-12-27,Q4 2021,Digital Services,137176.51,51382.56,92230.96,63.3,8,85,65.61,5108.93
TXN1118,2021-12-27,Q4 2021,Digital Services,169007.75,54838.52,103088.43,63.3,8,85,119.53,5108.93
TXN1119,2021-12-27,Q4 2021,Hardware Sales,67535.82,43554.58,30388.67,35.5,4,46,171.29,4710.25
TXN1120,2021-12-27,Q4 2021,Hardware Sales,68571.7,44830.93,28104.86,35.5,4,46,164.7,4710.25
TXN1121,2021-12-27,Q4 2021,Hardware Sales,82558.61,44219.88,30631.05,35.5,4,46,84.17,4710.25
TXN1122,2021-12-27,Q4 2021,Consulting,69470.85,32703.8,33290.58,49.6,3,35,119.23,4975.74
TXN1123,2021-12-27,Q4 2021,Consulting,54309.3,28319.21,32626.1,49.6,3,35,168.84,4975.74
TXN1124,2021-12-27,Q4 2021,Cloud Infrastructure,258265.2,92870.43,159562.62,60.6,13,132,61.43,5189.57
TXN1125,2021-12-27,Q4 2021,Cloud Infrastructure,238465.24,93582.73,135497.98,60.6,13,132,191.54,5189.57
TXN1135,2022-01-26,Q1 2022,Cloud Infrastructure,259120.33,88417.1,135274.88,60.2,14,126,128.58,5487.94
TXN1136,2022-01-26,Q1 2022,Cloud Infrastructure,260616.19,99688.82,145656.12,60.2,14,126,139.57,5487.94
TXN1133,2022-01-26,Q1 2022,Consulting,62565.36,31025.9,37575.0,51.5,3,24,194.67,7993.59
TXN1132,2022-01-26,Q1 2022,Consulting,73591.5,34615.21,30997.74,51.5,3,24,106.1,7993.59
TXN1134,2022-01-26,Q1 2022,Cloud Infrastructure,224361.94,91970.49,148247.97,60.2,14,126,183.0,5487.94
TXN1130,2022-01-26,Q1 2022,Hardware Sales,83075.84,58275.51,35059.79,37.4,4,37,150.21,6996.13
TXN1129,2022-01-26,Q1 2022,Digital Services,183920.32,53668.91,102140.61,65.1,9,84,150.35,5623.35
TXN1131,2022-01-26,Q1 2022,Hardware Sales,82125.26,63205.0,35029.23,37.4,4,37,56.54,6996.13
TXN1128,2022-01-26,Q1 2022,Digital Services,176752.64,58219.84,110437.12,65.1,9,84,134.7,5623.35
TXN1127,2022-01-26,Q1 2022,Digital Services,163034.12,61805.98,111382.87,65.1,9,84,63.05,5623.35
TXN1145,2022-02-25,Q1 2022,Cloud Infrastructure,262338.03,104279.28,177903.14,59.7,15,165,122.92,4897.75
TXN1144,2022-02-25,Q1 2022,Cloud Infrastructure,319015.21,124964.14,152500.81,59.7,15,165,112.99,4897.75
TXN1143,2022-02-25,Q1 2022,Consulting,59014.69,28094.7,36345.41,51.4,3,34,58.65,5480.19
TXN1142,2022-02-25,Q1 2022,Consulting,58754.76,35941.74,34152.72,51.4,3,34,98.05,5480.19
TXN1140,2022-02-25,Q1 2022,Hardware Sales,104360.79,61382.98,35111.08,37.7,4,47,76.1,5585.08
TXN1139,2022-02-25,Q1 2022,Digital Services,182765.53,71731.58,140840.77,64.9,9,104,180.3,5436.48
TXN1138,2022-02-25,Q1 2022,Digital Services,177906.19,64993.72,122901.21,64.9,9,104,170.15,5436.48
TXN1137,2022-02-25,Q1 2022,Digital Services,216900.24,63436.48,122398.81,64.9,9,104,127.16,5436.48
TXN1141,2022-02-25,Q1 2022,Hardware Sales,102482.42,52399.21,36153.38,37.7,4,47,190.47,5585.08
TXN1152,2022-03-27,Q1 2022,Consulting,76731.31,31751.99,36504.09,48.2,3,35,106.81,5518.88
TXN1155,2022-03-27,Q1 2022,Cloud Infrastructure,346769.15,128863.99,168476.49,59.7,16,129,52.28,6754.3
TXN1153,2022-03-27,Q1 2022,Cloud Infrastructure,281410.65,112280.62,205925.14,59.7,16,129,123.94,6754.3
TXN1151,2022-03-27,Q1 2022,Consulting,72289.67,38026.16,36870.35,48.2,3,35,53.27,5518.88
TXN1154,2022-03-27,Q1 2022,Cloud Infrastructure,326879.77,122033.69,186561.47,59.7,16,129,137.62,6754.3
TXN1149,2022-03-27,Q1 2022,Hardware Sales,95906.01,47277.8,30484.15,36.2,4,46,83.11,5256.2
TXN1148,2022-03-27,Q1 2022,Digital Services,179292.76,62114.91,138676.74,66.4,10,101,63.59,5462.23
TXN1147,2022-03-27,Q1 2022,Digital Services,194692.27,63999.29,140845.2,66.4,10,101,83.89,5462.23
TXN1146,2022-03-27,Q1 2022,Digital Services,198799.28,65469.91,140951.51,66.4,10,101,154.52,5462.23
TXN1150,2022-03-27,Q1 2022,Hardware Sales,79643.41,59080.49,29453.03,36.2,4,46,62.5,5256.2
TXN1164,2022-04-26,Q2 2022,Cloud Infrastructure,328580.33,122674.9,195331.29,61.4,17,158,176.87,6531.87
TXN1162,2022-04-26,Q2 2022,Consulting,85162.71,32077.38,41402.71,50.1,3,26,111.51,8199.79
TXN1161,2022-04-26,Q2 2022,Consulting,72018.64,37977.09,38455.11,50.1,3,26,110.31,8199.79
TXN1160,2022-04-26,Q2 2022,Consulting,76574.53,41609.7,35428.09,50.1,3,26,76.17,8199.79
TXN1163,2022-04-26,Q2 2022,Cloud Infrastructure,377997.21,141635.42,212380.54,61.4,17,158,79.3,6531.87
TXN1158,2022-04-26,Q2 2022,Hardware Sales,108818.37,55139.88,38069.57,36.4,4,39,148.21,7300.94
TXN1157,2022-04-26,Q2 2022,Digital Services,215832.33,75370.04,129655.32,65.2,10,95,141.09,5890.7
TXN1156,2022-04-26,Q2 2022,Digital Services,181081.97,75488.6,123508.3,65.2,10,95,130.55,5890.7
TXN1159,2022-04-26,Q2 2022,Hardware Sales,88318.06,69578.34,37462.91,36.4,4,39,64.75,7300.94
TXN1175,2022-05-26,Q2 2022,Cloud Infrastructure,383797.47,139178.98,233087.7,59.1,18,174,104.58,5670.91
TXN1165,2022-05-26,Q2 2022,Digital Services,223146.17,75859.35,122174.03,66.5,11,127,64.26,4627.22
TXN1166,2022-05-26,Q2 2022,Digital Services,215930.7,70958.59,132386.01,66.5,11,127,73.88,4627.22
TXN1167,2022-05-26,Q2 2022,Digital Services,205320.31,62513.16,122093.44,66.5,11,127,180.6,4627.22
TXN1168,2022-05-26,Q2 2022,Hardware Sales,99714.25,59692.32,33626.3,36.2,5,54,118.06,4919.96
TXN1169,2022-05-26,Q2 2022,Hardware Sales,80278.4,59944.14,32898.6,36.2,5,54,73.63,4919.96
TXN1170,2022-05-26,Q2 2022,Hardware Sales,82866.71,58489.44,29216.96,36.2,5,54,197.99,4919.96
TXN1171,2022-05-26,Q2 2022,Consulting,66310.18,38375.91,31794.61,50.6,3,24,146.24,8465.93
TXN1172,2022-05-26,Q2 2022,Consulting,79749.11,39224.33,39298.55,50.6,3,24,172.62,8465.93
TXN1173,2022-05-26,Q2 2022,Consulting,73876.0,40119.18,33114.7,50.6,3,24,151.78,8465.93
TXN1174,2022-05-26,Q2 2022,Cloud Infrastructure,353362.95,135631.37,179747.32,59.1,18,174,67.42,5670.91
TXN1184,2022-06-25,Q2 2022,Cloud Infrastructure,304813.76,139578.79,190165.24,58.6,20,203,55.41,4565.51
TXN1183,2022-06-25,Q2 2022,Consulting,76721.62,37901.91,34952.85,47.7,4,33,111.93,5931.47
TXN1186,2022-06-25,Q2 2022,Cloud Infrastructure,338278.71,128217.12,172940.59,58.6,20,203,170.8,4565.51
TXN1185,2022-06-25,Q2 2022,Cloud Infrastructure,307570.42,133791.14,194091.84,58.6,20,203,65.73,4565.51
TXN1182,2022-06-25,Q2 2022,Consulting,64166.2,36363.34,30962.58,47.7,4,33,173.73,5931.47
TXN1177,2022-06-25,Q2 2022,Digital Services,201585.39,63798.3,122342.27,65.5,12,112,172.7,5103.27
TXN1180,2022-06-25,Q2 2022,Hardware Sales,98414.01,56475.65,30443.37,34.0,5,58,53.71,4434.29
TXN1179,2022-06-25,Q2 2022,Hardware Sales,77592.48,59773.92,28311.47,34.0,5,58,110.68,4434.29
TXN1178,2022-06-25,Q2 2022,Digital Services,208141.33,68792.88,146330.26,65.5,12,112,73.91,5103.27
TXN1181,2022-06-25,Q2 2022,Hardware Sales,85097.31,61798.27,28974.57,34.0,5,58,80.87,4434.29
TXN1176,2022-06-25,Q2 2022,Digital Services,196893.97,76023.33,125372.36,65.5,12,112,184.99,5103.27
TXN1198,2022-07-25,Q3 2022,Cloud Infrastructure,296320.56,161857.64,185468.31,58.0,21,169,199.49,5814.96
TXN1197,2022-07-25,Q3 2022,Cloud Infrastructure,372239.39,125148.67,175802.86,58.0,21,169,66.38,5814.96
TXN1196,2022-07-25,Q3 2022,Cloud Infrastructure,302887.62,135643.67,227542.33,58.0,21,169,134.06,5814.96
TXN1195,2022-07-25,Q3 2022,Consulting,62582.57,33256.29,29611.92,48.0,4,46,108.63,4166.86
TXN1194,2022-07-25,Q3 2022,Consulting,62262.97,32422.24,32171.66,48.0,4,46,109.56,4166.86
TXN1193,2022-07-25,Q3 2022,Consulting,66943.76,35352.68,35554.78,48.0,4,46,162.35,4166.86
TXN1192,2022-07-25,Q3 2022,Hardware Sales,86091.48,59940.69,26735.4,33.2,5,49,150.42,4976.08
TXN1191,2022-07-25,Q3 2022,Hardware Sales,74192.42,64155.5,26156.48,33.2,5,49,72.36,4976.08
TXN1190,2022-07-25,Q3 2022,Hardware Sales,77317.08,54178.67,28894.0,33.2,5,49,149.84,4976.08
TXN1189,2022-07-25,Q3 2022,Digital Services,199786.64,76031.87,134018.12,63.5,12,129,174.25,4250.95
TXN1188,2022-07-25,Q3 2022,Digital Services,195689.08,74658.19,121485.39,63.5,12,129,123.25,4250.95
TXN1187,2022-07-25,Q3 2022,Digital Services,175525.31,72296.95,135236.3,63.5,12,129,171.46,4250.95
TXN1208,2022-08-24,Q3 2022,Cloud Infrastructure,351818.46,154071.53,221525.13,58.5,23,199,113.07,5586.12
TXN1207,2022-08-24,Q3 2022,Cloud Infrastructure,337840.0,165520.35,241731.2,58.5,23,199,157.22,5586.12
TXN1206,2022-08-24,Q3 2022,Cloud Infrastructure,350919.97,156624.2,241679.95,58.5,23,199,106.01,5586.12
TXN1205,2022-08-24,Q3 2022,Consulting,62818.18,35876.44,38893.13,51.6,4,41,179.7,4602.44
TXN1204,2022-08-24,Q3 2022,Consulting,67979.12,33876.79,31976.03,51.6,4,41,113.45,4602.44
TXN1201,2022-08-24,Q3 2022,Hardware Sales,87064.96,51078.35,31669.97,35.6,5,45,58.09,5624.25
TXN1202,2022-08-24,Q3 2022,Hardware Sales,77148.54,59990.48,27512.57,35.6,5,45,128.19,5624.25
TXN1200,2022-08-24,Q3 2022,Digital Services,235546.45,86429.67,134824.17,65.9,13,155,188.79,4095.06
TXN1199,2022-08-24,Q3 2022,Digital Services,193476.93,73912.56,162136.3,65.9,13,155,128.72,4095.06
TXN1203,2022-08-24,Q3 2022,Consulting,60490.98,31398.02,37787.07,51.6,4,41,159.31,4602.44
TXN1216,2022-09-23,Q3 2022,Cloud Infrastructure,393841.81,136842.64,192723.97,58.7,24,275,124.34,3884.89
TXN1215,2022-09-23,Q3 2022,Cloud Infrastructure,359287.72,154205.67,189310.79,58.7,24,275,51.16,3884.89
TXN1214,2022-09-23,Q3 2022,Consulting,75600.95,32913.82,36079.14,51.8,4,47,168.46,4554.99
TXN1213,2022-09-23,Q3 2022,Consulting,70828.65,33097.19,40883.29,51.8,4,47,120.8,4554.99
TXN1211,2022-09-23,Q3 2022,Hardware Sales,88824.25,44457.85,30139.37,35.0,5,58,63.41,3907.98
TXN1210,2022-09-23,Q3 2022,Digital Services,200581.24,73775.12,146419.71,65.4,13,130,182.24,4449.76
TXN1209,2022-09-23,Q3 2022,Digital Services,174559.6,60274.29,144311.42,65.4,13,130,129.16,4449.76
TXN1212,2022-09-23,Q3 2022,Hardware Sales,88773.82,53218.78,25083.06,35.0,5,58,55.91,3907.98
TXN1223,2022-10-23,Q4 2022,Consulting,65737.04,34596.79,30355.49,48.3,4,47,57.6,4279.22
TXN1227,2022-10-23,Q4 2022,Cloud Infrastructure,424635.83,154179.61,248038.3,59.1,26,267,195.89,4236.61
TXN1225,2022-10-23,Q4 2022,Consulting,60778.09,38077.49,31373.78,48.3,4,47,133.19,4279.22
TXN1224,2022-10-23,Q4 2022,Consulting,62876.42,31233.9,36432.52,48.3,4,47,161.02,4279.22
TXN1222,2022-10-23,Q4 2022,Hardware Sales,102055.46,65114.38,31575.72,35.0,5,46,157.81,6064.91
TXN1226,2022-10-23,Q4 2022,Cloud Infrastructure,420644.1,173623.05,258321.24,59.1,26,267,176.74,4236.61
TXN1220,2022-10-23,Q4 2022,Hardware Sales,103711.96,61240.12,37820.41,35.0,5,46,199.24,6064.91
TXN1219,2022-10-23,Q4 2022,Digital Services,215719.64,88178.28,161669.51,63.3,14,128,92.84,5446.3
TXN1218,2022-10-23,Q4 2022,Digital Services,229909.83,83703.01,169882.98,63.3,14,128,109.31,5446.3
TXN1221,2022-10-23,Q4 2022,Hardware Sales,89089.15,69213.75,34274.03,35.0,5,46,194.81,6064.91
TXN1217,2022-10-23,Q4 2022,Digital Services,241696.72,91894.44,142676.49,63.3,14,128,161.85,5446.3
TXN1237,2022-11-22,Q4 2022,Cloud Infrastructure,470298.07,181999.87,305290.68,58.9,28,334,102.06,4045.07
TXN1236,2022-11-22,Q4 2022,Cloud Infrastructure,444308.89,191574.96,281889.72,58.9,28,334,72.87,4045.07
TXN1235,2022-11-22,Q4 2022,Consulting,70984.63,37918.61,44771.19,50.4,4,41,102.84,5595.13
TXN1234,2022-11-22,Q4 2022,Consulting,87171.89,36630.41,41033.12,50.4,4,41,148.67,5595.13
